addr,token,result
0x00318,0x17fffff0,"b 0x2d8"
0x0031c,0xf947d000,"ldr x0, [x0, #0xfa0]"
0x00320,0xb5fffda1,"cbnz x1, 0x2d4"
0x00324,0xa9bc7bfd,"stp x29, x30, [sp, #-0x40]!"
0x00328,0xa9025bf5,"stp x21, x22, [sp, #0x20]"
0x0032c,0xa90363f7,"stp x23, x24, [sp, #0x30]"
0x00330,0xaa0003f5,"mov x21, x0"
0x00334,0x91086013,"add x19, x0, #0x218"
0x00338,0x91006017,"add x23, x0, #0x18"
0x0033c,0xb201f3f6,"orr x22, xzr, #-0x5555555555555556"
0x00340,0xb202e7f4,"orr x20, xzr, #-0x3333333333333334"
0x00344,0xf9400418,"ldr x24, [x0, #0x8]"
0x00348,0x8b010000,"add x0, x0, x1"
0x0034c,0x910006d6,"add x22, x22, #0x1"
0x00350,0x91000694,"add x20, x20, #0x1"
0x00354,0x91006000,"add x0, x0, #0x18"
0x00358,0x8b0102a1,"add x1, x21, x1"
0x0035c,0x39406021,"ldrb w1, [x1, #0x18]"
0x00360,0x34000061,"cbz w1, 0x36c"
0x00364,0x38401c01,"ldrb w1, [x0, #0x1]!"
0x00368,0x35ffffe1,"cbnz w1, 0x364"
0x0036c,0xeb13001f,"cmp x0, x19"
0x00370,0x540013a1,"b.ne 0x5e4"
0x00374,0xf1000b1f,"cmp x24, #0x2"
0x00378,0x54001269,"b.ls 0x5c4"
0x0037c,0x52800001,"mov w1, #0x0"
0x00380,0xd2804002,"mov x2, #0x200"
0x00384,0xaa1703e0,"mov x0, x23"
0x00388,0x97fffb75,"bl 0xfffffffffffff15c"
0x0038c,0xf9400aa1,"ldr x1, [x21, #0x10]"
0x00390,0x911fff03,"add x3, x24, #0x7ff"
0x00394,0x91100304,"add x4, x24, #0x400"
0x00398,0xf90006a4,"str x4, [x21, #0x8]"
0x0039c,0x91000421,"add x1, x1, #0x1"
0x003a0,0x9b017c20,"mul x0, x1, x1"
0x003a4,0xeb03001f,"cmp x0, x3"
0x003a8,0x54000069,"b.ls 0x3b4"
0x003ac,0x14000007,"b 0x3c8"
0x003b0,0xaa0003e1,"mov x1, x0"
0x003b4,0x91000420,"add x0, x1, #0x1"
0x003b8,0x9b007c02,"mul x2, x0, x0"
0x003bc,0xeb03005f,"cmp x2, x3"
0x003c0,0x54ffff89,"b.ls 0x3b0"
0x003c4,0xf9000aa1,"str x1, [x21, #0x10]"
0x003c8,0x91100f18,"add x24, x24, #0x403"
0x003cc,0xd341ff18,"lsr x24, x24, #0x1"
0x003d0,0x9bd67f01,"umulhx1, x24, x22"
0x003d4,0xd341fc21,"lsr x1, x1, #0x1"
0x003d8,0xd37ef420,"lsl x0, x1, #0x2"
0x003dc,0xcb010001,"sub x1, x0, x1"
0x003e0,0xeb010301,"subs x1, x24, x1"
0x003e4,0x54000e41,"b.ne 0x5ac"
0x003e8,0xd2800000,"mov x0, #0x0"
0x003ec,0x8b040000,"add x0, x0, x4"
0x003f0,0x91000c22,"add x2, x1, #0x3"
0x003f4,0xf1000c1f,"cmp x0, #0x3"
0x003f8,0x9a819041,"csel x1, x2, x1, ls"
0x003fc,0x91006021,"add x1, x1, #0x18"
0x00400,0xeb13003f,"cmp x1, x19"
0x00404,0x540000c2,"b.cs 0x41c"
0x00408,0x38003420,"strb w0, [x1], #0x3"
0x0040c,0x54ffffc3,"b.cc 0x404"
0x00410,0xf94006a4,"ldr x4, [x21, #0x8]"
0x00414,0x91001480,"add x0, x4, #0x5"
0x00418,0xd2800002,"mov x2, #0x0"
0x0041c,0xd341fc00,"lsr x0, x0, #0x1"
0x00420,0x9bd47c01,"umulhx1, x0, x20"
0x00424,0xd342fc21,"lsr x1, x1, #0x2"
0x00428,0x8b010821,"add x1, x1, x1, LSL #0x2"
0x0042c,0xeb010001,"subs x1, x0, x1"
0x00430,0x54000080,"b.eq 0x440"
0x00434,0xd28000a0,"mov x0, #0x5"
0x00438,0x8b010022,"add x2, x1, x1"
0x0043c,0x8b040042,"add x2, x2, x4"
0x00440,0x91001420,"add x0, x1, #0x5"
0x00444,0xf100145f,"cmp x2, #0x5"
0x00448,0x9a819001,"csel x1, x0, x1, ls"
0x0044c,0x38005420,"strb w0, [x1], #0x5"
0x00450,0xd2849261,"mov x1, #0x2493"
0x00454,0x91001c80,"add x0, x4, #0x7"
0x00458,0xf2b24921,"movk x1, #0x9249, LSL #16"
0x0045c,0xf2c92481,"movk x1, #0x4924, LSL #32"
0x00460,0xf2e49241,"movk x1, #0x2492, LSL #48"
0x00464,0x9bc17c02,"umulhx2, x0, x1"
0x00468,0xcb020001,"sub x1, x0, x2"
0x0046c,0x8b410441,"add x1, x2, x1, LSR #0x1"
0x00470,0xd37df022,"lsl x2, x1, #0x3"
0x00474,0xcb010041,"sub x1, x2, x1"
0x00478,0xd28000e0,"mov x0, #0x7"
0x0047c,0x8b010023,"add x3, x1, x1"
0x00480,0x8b040063,"add x3, x3, x4"
0x00484,0x91001c20,"add x0, x1, #0x7"
0x00488,0xf1001c7f,"cmp x3, #0x7"
0x0048c,0x540006c2,"b.cs 0x564"
0x00490,0x38007420,"strb w0, [x1], #0x7"
0x00494,0xf94006b8,"ldr x24, [x21, #0x8]"
0x00498,0xf9400aa0,"ldr x0, [x21, #0x10]"
0x0049c,0xf100281f,"cmp x0, #0xa"
0x004a0,0x540004c9,"b.ls 0x538"
0x004a4,0xd2800162,"mov x2, #0xb"
0x004a8,0x900003a7,"adrp x7, 0x74000"
0x004ac,0x52800023,"mov w3, #0x1"
0x004b0,0x8b020301,"add x1, x24, x2"
0x004b4,0xd2800006,"mov x6, #0x0"
0x004b8,0xd341fc25,"lsr x5, x1, #0x1"
0x004bc,0x9ac208a1,"udiv x1, x5, x2"
0x004c0,0x9b029421,"msub x1, x1, x2, x5"
0x004c4,0xb4000061,"cbz x1, 0x4d0"
0x004c8,0x8b010026,"add x6, x1, x1"
0x004cc,0x8b1800c6,"add x6, x6, x24"
0x004d0,0x8b020020,"add x0, x1, x2"
0x004d4,0xeb0200df,"cmp x6, x2"
0x004d8,0x39000023,"strb w3, [x1]"
0x004dc,0x8b020021,"add x1, x1, x2"
0x004e0,0x54ffffa3,"b.cc 0x4d4"
0x004e4,0x912980e5,"add x5, x7, #0xa60"
0x004e8,0x91000480,"add x0, x4, #0x1"
0x004ec,0x9bd67c06,"umulhx6, x0, x22"
0x004f0,0x386468a5,"ldrb w5, [x5, x4, LSL ]"
0x004f4,0xd345fcc4,"lsr x4, x6, #0x5"
0x004f8,0x8b050042,"add x2, x2, x5"
0x004fc,0xeb02003f,"cmp x1, x2"
0x00500,0xd37ef481,"lsl x1, x4, #0x2"
0x00504,0xcb040024,"sub x4, x1, x4"
0x00508,0xcb041004,"sub x4, x0, x4, LSL #0x4"
0x0050c,0x54fffc02,"b.cs 0x48c"
0x00510,0xf90002bf,"str xzr, [x21]"
0x00514,0x17ffff6c,"b 0x2c4"
0x00518,0xd2800060,"mov x0, #0x3"
0x0051c,0x8b010020,"add x0, x1, x1"
0x00520,0x17ffff8d,"b 0x354"
0x00524,0xaa0403f8,"mov x24, x4"
0x00528,0x17ffffcf,"b 0x464"
0x0052c,0x92807f81,"mov x1, #-0x3fd"
0x00530,0xf90006a1,"str x1, [x21, #0x8]"
0x00534,0xd2800040,"mov x0, #0x2"
0x00538,0xa9425bf5,"ldp x21, x22, [sp, #0x20]"
0x0053c,0xa94363f7,"ldp x23, x24, [sp, #0x30]"
0x00540,0xa8c47bfd,"ldp x29, x30, [sp], #0x40"
0x00544,0x910062a1,"add x1, x21, #0x18"
0x00548,0xf90002a1,"str x1, [x21]"
0x0054c,0x8b180000,"add x0, x0, x24"
0x00550,0xd2804001,"mov x1, #0x200"
0x00554,0xf900041f,"str xzr, [x0, #0x8]"
0x00558,0xf900081f,"str xzr, [x0, #0x10]"
0x0055c,0xf9000001,"str x1, [x0]"
0x00560,0x3908601f,"strb wzr, [x0, #0x218]"
0x00564,0xd1001434,"sub x20, x1, #0x5"
0x00568,0xb2400282,"orr x2, x20, #0x1"
0x0056c,0xb201f3f4,"orr x20, xzr, #-0x5555555555555556"
0x00570,0x9bd47c54,"umulhx20, x2, x20"
0x00574,0xaa0103f6,"mov x22, x1"
0x00578,0xd341fe94,"lsr x20, x20, #0x1"
0x0057c,0x9346fe95,"asr x21, x20, #0x6"
0x00580,0x910006b5,"add x21, x21, #0x1"
0x00584,0xd37df2b5,"lsl x21, x21, #0x3"
0x00588,0xaa1503e2,"mov x2, x21"
0x0058c,0x97fffabc,"bl 0xfffffffffffff07c"
0x00590,0xd2909000,"mov x0, #0x8480"
0x00594,0x91000682,"add x2, x20, #0x1"
0x00598,0xf2ad2240,"movk x0, #0x6912, LSL #16"
0x0059c,0xf2401442,"ands x2, x2, #0x3f"
0x005a0,0xf2d93c00,"movk x0, #0xc9e0, LSL #32"
0x005a4,0xf2e65280,"movk x0, #0x3294, LSL #48"
0x005a8,0xf9000260,"str x0, [x19]"
0x005ac,0x540000e0,"b.eq 0x5c8"
0x005b0,0xd10022b5,"sub x21, x21, #0x8"
0x005b4,0x92800000,"mov x0, #-0x1"
0x005b8,0x9ac22002,"lsl x2, x0, x2"
0x005bc,0xf8756a60,"ldr x0, [x19, x21, LSL #0x0]"
0x005c0,0xaa020002,"orr x2, x0, x2"
0x005c4,0xf8356a62,"str x2, [x19, x21, LSL #0x0]"
0x005c8,0xf1032adf,"cmp x22, #0xca"
0x005cc,0x540008a9,"b.ls 0x6e0"
0x005d0,0xd2800027,"mov x7, #0x1"
0x005d4,0xd280012a,"mov x10, #0x9"
0x005d8,0xd2800048,"mov x8, #0x2"
0x005dc,0xd2800009,"mov x9, #0x0"
0x005e0,0xaa0703ec,"mov x12, x7"
0x005e4,0xf8697a60,"ldr x0, [x19, x9, LSL #0x3]"
0x005e8,0xd1000503,"sub x3, x8, #0x1"
0x005ec,0xea0000ff,"tst x7, x0"
0x005f0,0x540006c1,"b.ne 0x6c8"
0x005f4,0x9240006b,"and x11, x3, #0x1"
0x005f8,0xd1001545,"sub x5, x10, #0x5"
0x005fc,0x8b0b00a5,"add x5, x5, x11"
0x00600,0xcb0b03e1,"neg x1, x11"
0x00604,0x8a080021,"and x1, x1, x8"
0x00608,0x9b030ca2,"madd x2, x5, x3, x3"
0x0060c,0xd1000421,"sub x1, x1, #0x1"
0x00610,0xeb01029f,"cmp x20, x1"
0x00614,0x5400064b,"b.lt 0x6dc"
0x00618,0x8b0500a5,"add x5, x5, x5"
0x0061c,0x937ffc22,"asr x2, x1, #0x3f"
0x00620,0x937ffca6,"asr x6, x5, #0x3f"
0x00624,0xd37afc42,"lsr x2, x2, #0x3a"
0x00628,0xd37afcc4,"lsr x4, x6, #0x3a"
0x0062c,0x92401400,"and x0, x0, #0x3f"
0x00630,0x8b0400a6,"add x6, x5, x4"
0x00634,0xcb020002,"sub x2, x0, x2"
0x00638,0x924014c6,"and x6, x6, #0x3f"
0x0063c,0x9ac22182,"lsl x2, x12, x2"
0x00640,0x4b060086,"sub w6, w4, w6"
0x00644,0xeb1f003f,"cmp x1, xzr"
0x00648,0x9100fc20,"add x0, x1, #0x3f"
0x0064c,0x9a81b000,"csel x0, x0, x1, lt"
0x00650,0x8b050021,"add x1, x1, x5"
0x00654,0x9346fc04,"asr x4, x0, #0x6"
0x00658,0xf8647a60,"ldr x0, [x19, x4, LSL #0x3]"
0x0065c,0xaa020000,"orr x0, x0, x2"
0x00660,0xf8247a60,"str x0, [x19, x4, LSL #0x3]"
0x00664,0x9ac62c42,"ror x2, x2, x6"
0x00668,0x54fffeca,"b.ge 0x640"
0x0066c,0x9b0a2c61,"madd x1, x3, x10, x11"
0x00670,0x5400018b,"b.lt 0x6a0"
0x00674,0x9346fc03,"asr x3, x0, #0x6"
0x00678,0xf8637a60,"ldr x0, [x19, x3, LSL #0x3]"
0x0067c,0xf8237a60,"str x0, [x19, x3, LSL #0x3]"
0x00680,0x93c7fce7,"ror x7, x7, #0x3f"
0x00684,0x91000508,"add x8, x8, #0x1"
0x00688,0x924000e0,"and x0, x7, #0x1"
0x0068c,0x91000d4a,"add x10, x10, #0x3"
0x00690,0x8b000129,"add x9, x9, x0"
0x00694,0x17ffffc2,"b 0x59c"
0x00698,0xa9ba7bfd,"stp x29, x30, [sp, #-0x60]!"
0x0069c,0xf9002bfb,"str x27, [sp, #0x50]"
0x006a0,0xa9046bf9,"stp x25, x26, [sp, #0x40]"
0x006a4,0xd347fe93,"lsr x19, x20, #0x7"
0x006a8,0xaa0003f9,"mov x25, x0"
0x006ac,0x91000673,"add x19, x19, #0x1"
0x006b0,0xf140067f,"cmp x19, #0x1, LSL #12"
0x006b4,0x54001109,"b.ls 0x8d4"
0x006b8,0x92402a7b,"and x27, x19, #0x7ff"
0x006bc,0xd280003a,"mov x26, #0x1"
0x006c0,0x9120037b,"add x27, x27, #0x800"
0x006c4,0xb24043f6,"orr x22, xzr, #0x1ffff"
0x006c8,0xd37ae762,"lsl x2, x27, #0x6"
0x006cc,0xd378df61,"lsl x1, x27, #0x8"
0x006d0,0xcb020021,"sub x1, x1, x2"
0x006d4,0x8b1b0c15,"add x21, x0, x27, LSL #0x3"
0x006d8,0x8b1a0021,"add x1, x1, x26"
0x006dc,0xd1000457,"sub x23, x2, #0x1"
0x006e0,0x97ffff7a,"bl 0x4c8"
0x006e4,0xd2880002,"mov x2, #0x4000"
0x006e8,0xaa1503e0,"mov x0, x21"
0x006ec,0x910006f8,"add x24, x23, #0x1"
0x006f0,0x97fffa42,"bl 0xffffffffffffeff8"
0x006f4,0xd280012c,"mov x12, #0x9"
0x006f8,0xd280000b,"mov x11, #0x0"
0x006fc,0xd2800029,"mov x9, #0x1"
0x00700,0x914082ed,"add x13, x23, #0x20, LSL #12"
0x00704,0xf86b7b21,"ldr x1, [x25, x11, LSL #0x3]"
0x00708,0x91000408,"add x8, x0, #0x1"
0x0070c,0xea01013f,"tst x9, x1"
0x00710,0x540009a1,"b.ne 0x844"
0x00714,0x92400103,"and x3, x8, #0x1"
0x00718,0xd37ef504,"lsl x4, x8, #0x2"
0x0071c,0x91000461,"add x1, x3, #0x1"
0x00720,0xcb080084,"sub x4, x4, x8"
0x00724,0x91000800,"add x0, x0, #0x2"
0x00728,0xcb0303e2,"neg x2, x3"
0x0072c,0x8b040021,"add x1, x1, x4"
0x00730,0x8a000042,"and x2, x2, x0"
0x00734,0xd1000440,"sub x0, x2, #0x1"
0x00738,0x9b082022,"madd x2, x1, x8, x8"
0x0073c,0x8b020002,"add x2, x0, x2"
0x00740,0xeb0d005f,"cmp x2, x13"
0x00744,0x540008e8,"b.hi 0x860"
0x00748,0x8b010021,"add x1, x1, x1"
0x0074c,0xeb18005f,"cmp x2, x24"
0x00750,0x937ffc2a,"asr x10, x1, #0x3f"
0x00754,0xd37afd4a,"lsr x10, x10, #0x3a"
0x00758,0x8b0a0020,"add x0, x1, x10"
0x0075c,0x4b0a000a,"sub w10, w0, w10"
0x00760,0x540000a2,"b.cs 0x774"
0x00764,0xcb0202e0,"sub x0, x23, x2"
0x00768,0x9ac10800,"udiv x0, x0, x1"
0x0076c,0x9b010400,"madd x0, x0, x1, x1"
0x00770,0xcb180042,"sub x2, x2, x24"
0x00774,0x4b0a03e7,"neg w7, w10"
0x00778,0x937ffc45,"asr x5, x2, #0x3f"
0x0077c,0xeb16005f,"cmp x2, x22"
0x00780,0xd37afca5,"lsr x5, x5, #0x3a"
0x00784,0x8b050044,"add x4, x2, x5"
0x00788,0x92401484,"and x4, x4, #0x3f"
0x0078c,0xcb050085,"sub x5, x4, x5"
0x00790,0x9ac52345,"lsl x5, x26, x5"
0x00794,0x5400018c,"b.gt 0x7c4"
0x00798,0xeb1f005f,"cmp x2, xzr"
0x0079c,0x9100fc44,"add x4, x2, #0x3f"
0x007a0,0x9a82b084,"csel x4, x4, x2, lt"
0x007a4,0x8b010042,"add x2, x2, x1"
0x007a8,0x9346fc86,"asr x6, x4, #0x6"
0x007ac,0xf8667aa4,"ldr x4, [x21, x6, LSL #0x3]"
0x007b0,0xaa050084,"orr x4, x4, x5"
0x007b4,0xf8267aa4,"str x4, [x21, x6, LSL #0x3]"
0x007b8,0x9ac72ca5,"ror x5, x5, x7"
0x007bc,0x54fffecd,"b.le 0x794"
0x007c0,0x9b0c0d03,"madd x3, x8, x12, x3"
0x007c4,0xeb0301bf,"cmp x13, x3"
0x007c8,0x540003e3,"b.cc 0x844"
0x007cc,0xeb18007f,"cmp x3, x24"
0x007d0,0xcb0302e2,"sub x2, x23, x3"
0x007d4,0x9ac10842,"udiv x2, x2, x1"
0x007d8,0x9b010442,"madd x2, x2, x1, x1"
0x007dc,0x8b030043,"add x3, x2, x3"
0x007e0,0xcb180062,"sub x2, x3, x24"
0x007e4,0x937ffc40,"asr x0, x2, #0x3f"
0x007e8,0xd37afc03,"lsr x3, x0, #0x3a"
0x007ec,0x8b030040,"add x0, x2, x3"
0x007f0,0xcb030000,"sub x0, x0, x3"
0x007f4,0x9ac02340,"lsl x0, x26, x0"
0x007f8,0x540001ac,"b.gt 0x82c"
0x007fc,0x9100fc43,"add x3, x2, #0x3f"
0x00800,0x9a82b063,"csel x3, x3, x2, lt"
0x00804,0x9346fc64,"asr x4, x3, #0x6"
0x00808,0xf8647aa3,"ldr x3, [x21, x4, LSL #0x3]"
0x0080c,0xaa000063,"orr x3, x3, x0"
0x00810,0xf8247aa3,"str x3, [x21, x4, LSL #0x3]"
0x00814,0x9ac72c00,"ror x0, x0, x7"
0x00818,0x93c9fd29,"ror x9, x9, #0x3f"
0x0081c,0x92400120,"and x0, x9, #0x1"
0x00820,0x8b00016b,"add x11, x11, x0"
0x00824,0xeb17011f,"cmp x8, x23"
0x00828,0xaa0803e0,"mov x0, x8"
0x0082c,0x91000d8c,"add x12, x12, #0x3"
0x00830,0x54fff549,"b.ls 0x6d8"
0x00834,0x914012b5,"add x21, x21, #0x4, LSL #12"
0x00838,0xeb1b027f,"cmp x19, x27"
0x0083c,0xaa0d03f7,"mov x23, x13"
0x00840,0x54fff36c,"b.gt 0x6ac"
0x00844,0xf2401694,"ands x20, x20, #0x3f"
0x00848,0x54000100,"b.eq 0x868"
0x0084c,0xd37df260,"lsl x0, x19, #0x3"
0x00850,0x92800001,"mov x1, #-0x1"
0x00854,0xd1002000,"sub x0, x0, #0x8"
0x00858,0x9ad42034,"lsl x20, x1, x20"
0x0085c,0xf8606b21,"ldr x1, [x25, x0, LSL #0x0]"
0x00860,0xaa140034,"orr x20, x1, x20"
0x00864,0xf8206b34,"str x20, [x25, x0, LSL #0x0]"
0x00868,0xaa1303e1,"mov x1, x19"
0x0086c,0xaa1903e0,"mov x0, x25"
0x00870,0xd37ae673,"lsl x19, x19, #0x6"
0x00874,0x97fffb83,"bl 0xfffffffffffff680"
0x00878,0xf9402bfb,"ldr x27, [sp, #0x50]"
0x0087c,0xcb000260,"sub x0, x19, x0"
0x00880,0xa9446bf9,"ldp x25, x26, [sp, #0x40]"
0x00884,0xa8c67bfd,"ldp x29, x30, [sp], #0x60"
0x00888,0x97fffefd,"bl 0x47c"
0x0088c,0x17ffffe9,"b 0x830"
0x00890,0xf9477042,"ldr x2, [x2, #0xee0]"
0x00894,0x91004034,"add x20, x1, #0x10"
0x00898,0xf9400041,"ldr x1, [x2]"
0x0089c,0xaa1403e0,"mov x0, x20"
0x008a0,0xaa0003e2,"mov x2, x0"
0x008a4,0xf9400261,"ldr x1, [x19]"
0x008a8,0x91004000,"add x0, x0, #0x10"
0x008ac,0xf9000454,"str x20, [x2, #0x8]"
0x008b0,0xf9000041,"str x1, [x2]"
0x008b4,0xf9000262,"str x2, [x19]"
0x008b8,0xb4000120,"cbz x0, 0x8dc"
0x008bc,0xf947da83,"ldr x3, [x20, #0xfb0]"
0x008c0,0xaa0203e0,"mov x0, x2"
0x008c4,0xf9400053,"ldr x19, [x2]"
0x008c8,0xf9400441,"ldr x1, [x2, #0x8]"
0x008cc,0xf9400062,"ldr x2, [x3]"
0x008d0,0xd63f0040,"blr x2"
0x008d4,0xaa1303e2,"mov x2, x19"
0x008d8,0xb5ffff33,"cbnz x19, 0x8bc"
0x008dc,0xf947b800,"ldr x0, [x0, #0xf70]"
0x008e0,0xf900067f,"str xzr, [x19, #0x8]"
0x008e4,0xb9000260,"str w0, [x19]"
0x008e8,0xb900067f,"str wzr, [x19, #0x4]"
0x008ec,0x91000400,"add x0, x0, #0x1"
0x008f0,0xd37df000,"lsl x0, x0, #0x3"
